gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
SH2D1A,ENSG00000183918,False,True,False
SHOC2,ENSG00000108061,True,False,False
SHQ1,ENSG00000144736,False,True,False
SLX4,ENSG00000188827,False,True,False
SMARCD1,ENSG00000066117,False,False,False
SMARCE1,ENSG00000073584,True,True,True
SMC1A,ENSG00000072501,False,True,False
SMC3,ENSG00000108055,False,True,False
SMYD3,ENSG00000185420,True,False,False
SOS1,ENSG00000115904,True,False,False
SOX17,ENSG00000164736,False,True,False
SPRED1,ENSG00000166068,False,True,False
SS18,ENSG00000141380,True,False,True
STK19,ENSG00000204344,True,False,False
STK40,ENSG00000196182,False,False,False
TAL1,ENSG00000162367,True,False,True
TAP1,ENSG00000168394,False,False,False
TAP2,ENSG00000204267,False,False,False
TCL1A,ENSG00000100721,True,False,True
TFE3,ENSG00000068323,True,False,True
TGFBR1,ENSG00000106799,False,True,False
TLX1,ENSG00000107807,True,False,True
TLX3,ENSG00000164438,True,False,True
TNFRSF17,ENSG00000048462,True,False,True
TP53BP1,ENSG00000067369,False,True,False
TRAF3,ENSG00000131323,False,True,False
TRAF5,ENSG00000082512,False,True,False
TYK2,ENSG00000105397,True,False,False
U2AF2,ENSG00000063244,False,False,False
UBR5,ENSG00000104517,True,False,True
UPF1,ENSG00000005007,False,False,False
USP8,ENSG00000138592,True,False,True
VTCN1,ENSG00000134258,False,False,False
XBP1,ENSG00000100219,True,False,False
XIAP,ENSG00000101966,True,False,False
YAP1,ENSG00000137693,True,False,False
YES1,ENSG00000176105,True,False,False
ZNF217,ENSG00000171940,True,False,False
ABI1,ENSG00000136754,False,False,True
ACKR3,ENSG00000144476,True,True,True
ACTG1,ENSG00000184009,False,True,False
AFDN,ENSG00000130396,False,False,True
AFF1,ENSG00000172493,False,False,True
AGO1,ENSG00000092847,True,False,False
ALB,ENSG00000163631,False,False,False
APLNR,ENSG00000134817,True,True,False
ARFRP1,ENSG00000101246,False,False,False
ARHGEF28,ENSG00000214944,True,False,False
ARID3A,ENSG00000116017,False,True,False
ARID3B,ENSG00000179361,True,False,False
ARID3C,ENSG00000205143,False,False,False
ARID4A,ENSG00000032219,False,True,False
ARID4B,ENSG00000054267,False,True,False
ARID5A,ENSG00000196843,False,False,False
ARNT,ENSG00000143437,False,False,True
ATP1A1,ENSG00000163399,True,True,True
ATP6AP1,ENSG00000071553,False,False,False
ATP6V1B2,ENSG00000147416,False,True,False
ATXN2,ENSG00000204842,False,True,False
ATXN7,ENSG00000163635,True,False,False
BACH2,ENSG00000112182,False,True,False
BCL11A,ENSG00000119866,False,False,True
BCL2L2,ENSG00000129473,False,False,False
BRD3,ENSG00000169925,True,False,True
BRSK1,ENSG00000160469,False,True,False
CACNA1D,ENSG00000157388,True,False,True
CAD,ENSG00000084774,True,False,False
CAMTA1,ENSG00000171735,False,False,True
CANT1,ENSG00000171302,True,False,True
CARS1,ENSG00000110619,False,False,True
CD28,ENSG00000178562,True,False,False
CDH11,ENSG00000140937,True,False,True
CDX2,ENSG00000165556,False,False,True
CEP43,ENSG00000213066,False,False,True
CHD2,ENSG00000173575,False,True,False
CHD4,ENSG00000111642,True,False,True
CLTC,ENSG00000141367,False,False,True
CMTR2,ENSG00000180917,False,True,False
COL2A1,ENSG00000139219,False,True,True
CRBN,ENSG00000113851,False,True,False
CREB1,ENSG00000118260,True,False,True
CREB3L1,ENSG00000157613,False,False,True
CREB3L2,ENSG00000182158,False,False,True
CTR9,ENSG00000198730,False,True,False
CUL4A,ENSG00000139842,True,False,False
CYP19A1,ENSG00000137869,True,False,False
DDX10,ENSG00000178105,False,False,True
DDX5,ENSG00000108654,True,False,True
DDX6,ENSG00000110367,False,False,True
ECT2L,ENSG00000203734,False,True,False
EGR1,ENSG00000120738,False,True,False
EIF3E,ENSG00000104408,False,False,True
ELK4,ENSG00000158711,True,False,True
ELN,ENSG00000049540,True,False,False
EML4,ENSG00000143924,False,False,True
